Code,Area,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E09000001,City of London,106052,128659,138162,197542,199532,221279,241311,264614,249950,246870,315594,339413,464276,384367,384890,470820,510605,494403,,,,
E09000002,Barking and Dagenham,48150,48922,53244,60158,66046,79633,90013,113482,125000,159321,164912,170278,187134,190612,160522,172275,173260,174070,749563,736127,704212,++
E09000003,Barnet,88379,90065,105968,115972,139143,165174,182706,216268,170000,263479,271865,290952,319738,312400,312506,353959,353457,362765,181352,206204,232262,274835
E09000004,Bexley,61175,64089,69509,77879,86173,99799,115494,139835,130000,177685,184523,196565,210775,206960,197780,212084,210307,209681,381497,419842,469327,478051
E09000005,Brent,67829,72874,84340,98464,111020,136883,155357,187402,160000,228536,242117,257164,288906,289849,278357,294668,310766,334205,220724,246671,268926,312076
E09000006,Bromley,80067,82945,89104,100937,117612,139606,157611,183004,154950,231415,239579,251376,276927,268830,263599,286900,289389,292754,356377,390262,425987,431970
E09000007,Camden,116175,129561,149861,167634,200920,248758,270548,302143,205000,330032,357077,391732,446088,483016,454091,528539,539390,573393,308967,346776,387753,423557
E09000008,Croydon,61711,65752,72232,82150,93750,111964,128812,154978,138000,192748,200383,211597,227122,230266,209742,228485,227127,237115,634576,704993,769629,752638
E09000009,Ealing,76922,82026,95216,105396,132000,149857,170117,198765,163000,236033,245252,261806,290336,289661,283830,301020,316393,339933,246470,270924,305866,331325
E09000010,Enfield,68187,71362,81659,88454,98757,115275,134776,156196,140000,199166,207405,219163,239586,238685,234612,249264,250309,259997,356936,416084,450678,446024
E09000011,Greenwich,63498,65347,69567,80163,95930,112694,131015,156558,140000,191352,208293,217515,235128,238562,235174,260049,258634,256193,273006,295270,331754,371791
E09000012,Hackney,62467,65824,77829,89602,112355,136134,159462,181198,150000,217947,227961,251876,283038,287492,281512,304604,313657,339292,286874,309055,352908,393109
E09000013,Hammersmith and Fulham,110891,123054,142247,163082,201435,236105,260646,289399,216651,330746,356866,385676,451173,462108,457036,511016,513383,543853,384415,443334,495344,515050
E09000014,Haringey,72004,78344,87010,100197,116780,137519,158818,189160,150000,225145,235867,257403,295222,288579,288015,319949,331681,341855,605099,688894,741420,718366
E09000015,Harrow,80145,83988,94518,106081,125189,148126,166612,199052,172000,246866,256808,268245,289300,284512,262538,296500,302691,306131,376909,415282,453958,449162
E09000016,Havering,68014,71387,76179,85787,95235,109995,123556,148374,138000,193978,203930,211378,227764,226383,208307,232413,226735,225429,327919,366337,394866,413143
E09000017,Hillingdon,72441,72727,81324,89755,106649,126065,142288,167355,150000,207300,215459,231892,249397,247604,234334,256289,259273,267167,235762,260020,290179,324690
E09000018,Hounslow,76103,77277,86239,103199,121152,142010,160996,186388,160000,223397,230658,249481,273845,271161,261924,280467,292127,297238,279244,309197,355545,382931
E09000019,Islington,100165,105183,121023,143019,174680,208426,222028,251403,184000,276938,294137,319029,375652,374153,359826,410887,427356,442235,320282,343265,383428,395683
E09000020,Kensington and Chelsea,178418,207974,238939,256760,307417,376733,404635,439126,255500,512371,535967,610110,712295,792508,740653,854409,886061,1002564,496321,561746,616754,616442
E09000021,Kingston upon Thames,86144,92353,99255,115625,133695,163063,179257,206832,177000,242571,251723,271111,307574,310212,288271,319743,321577,334647,1112029,1272070,1233932,1243237
E09000022,Lambeth,66589,76731,86518,106334,122492,155274,179448,201688,157000,229237,239281,259636,298989,298406,294281,319513,323469,342889,359796,408164,435587,471030
E09000023,Lewisham,54220,56300,64653,73034,85988,104968,122668,145636,135000,184874,192048,207295,229417,232155,220329,238960,243377,254837,372426,441043,472322,502453
E09000024,Merton,79193,84291,91364,106928,128561,150496,169376,198016,158500,237707,245419,261279,299847,297457,285475,327413,334510,333358,272980,317418,357634,384740
E09000025,Newham,44177,46738,53781,61000,70414,90837,108751,136215,142000,183714,194350,203961,221262,231873,195786,209756,205255,209746,368535,414112,451046,467941
E09000026,Redbridge,67919,71701,77171,85370,98501,116192,138501,167187,150000,216690,222827,237729,259452,258603,233807,257919,266629,273750,220579,250869,289114,340889
E09000027,Richmond upon Thames,116014,124955,140379,165246,196172,233915,246452,273653,206000,324917,333503,363624,418857,414272,413200,445750,461962,475924,281492,296045,338936,373756
E09000028,Southwark,71455,72015,85444,101190,119722,154622,180226,195257,155000,229066,244724,256734,293739,291123,295242,326943,338468,353005,511671,578861,607049,611014
E09000029,Sutton,68550,70670,77909,88984,101398,123367,138058,161503,141000,196467,208085,219034,239407,237514,217694,240960,239821,246896,374055,438550,485706,535593
E09000030,Tower Hamlets,67386,76507,94207,110951,139179,164712,183935,201477,165000,237984,243891,258170,302291,301604,302714,312834,310750,321718,342845,398293,424987,459567
E09000031,Waltham Forest,53171,55052,61711,71520,80980,97730,115766,146270,139995,186303,196234,208790,234545,226675,209069,223017,225284,236524,261714,309212,352767,386035
E09000032,Wandsworth,90097,98630,111168,127009,158988,192474,214161,244738,184625,288437,302557,334313,384761,379791,381982,413637,420934,443779,486553,560759,582987,635689
E09000033,Westminster,136089,143485,170693,194691,230136,277638,307856,345006,240000,388172,416083,453184,524163,553917,551820,618654,671296,731953,840540,982786,983757,1005244
E13000001,Inner London,86090,94410,107939,122063,148084,177218,196856,174451,165000,263274,280344,305440,345186,351168,356875,390736,400928,414399,453617,513150,542094,566636
E13000002,Outer London,72440,76232,84415,95197,110911,130005,147306,106376,149000,216453,225727,239908,262310,260966,250184,276088,278870,286194,302059,330706,367137,395082
E12000001,North East,42024,43240,45627,46813,49256,50587,52948,59902,46500,93676,106591,118295,124303,122092,120570,122309,115750,117902,117841,120105,124287,124220
E12000002,North West,44410,45655,48382,50157,53223,55558,60372,68115,53500,102427,115977,129203,138170,134185,131227,133350,129326,131064,131868,136089,141610,146016
E12000003,Yorkshire And The Humber,45829,46776,48920,50148,53267,56241,59802,69171,57000,106018,119109,131085,139134,134462,132046,137447,132177,133479,134864,138223,143530,149208
E12000004,East Midlands,47144,48641,51919,54790,59255,63853,71083,85831,76495,127092,136426,142802,149977,143243,138932,143754,140227,142404,145977,153552,162948,170634
E12000005,West Midlands,50770,52515,56032,59103,64141,69176,77638,91560,77950,130416,138983,148364,153841,149104,145866,152580,147558,149873,153666,159337,168049,175181
E12000006,East of England,59161,60515,66025,71568,79295,90656,103937,126767,109000,167570,176484,187012,200246,195563,185891,202886,198511,202405,208454,221718,241184,258431
E12000007,London,77302,82645,93054,105136,124672,147818,165053,192537,154995,233720,246185,264206,291792,292993,289411,320162,325576,334918,359872,396213,428782,457285
E12000008,South East,68885,71893,78087,86946,97943,114471,129266,152450,127000,193147,201684,213297,228919,225134,214722,238220,233334,238648,245156,260467,279714,298871
E12000009,South West,57209,59211,64233,69187,77224,88686,101601,124410,109000,168989,176985,187260,202142,194356,185649,199970,194776,196809,199390,208536,220574,231891
E92000001,England,56571,59074,64101,68687,76393,83630,93076,108713,85000,148640,160214,172812,184584,179647,176787,191069,186279,190592,195426,203311,214637,222070
W92000004,Wales,43512,44812,47514,49172,52940,56208,60636,70125,59000,110438,124448,134798,142876,136173,132593,134320,131977,132555,133307,137036,141624,145785
K04000001,England And Wales,55944,58380,63279,67720,75256,82070,91199,225313,83950,146633,158398,170889,182441,177262,174451,187978,183335,187473,192004,199549,210454,216532
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
